"cutpoint_method","KL","KL_rev","J","L1","chi2","chi2_rev"
"Wang","21","21","21","24","21","21"
"Wang","23","23","23","30","22","23"
"Wang","16","16","16","24","13","16"
"Wang","17","17","17","26","14","18"
"Wang","17","17","17","24","16","17"
"Wang","12","12","12","20","11","12"
"Wang","13","13","13","21","13","13"
"Wang","3","3","3","13","1","3"
"Wang","14","14","14","20","13","14"
"Wang","15","14","15","24","13","13"
"Wang","13","13","13","18","13","13"
"Wang","18","18","18","25","18","17"
"Wang","15","15","15","26","15","15"
"Wang","27","27","27","29","27","27"
"Wang","27","25","27","29","25","26"
"Wang","12","12","12","20","12","12"
"Wang","12","7","10","27","5","16"
"Wang","14","14","14","24","13","12"
"Wang","20","18","19","23","16","20"
"Wang","18","16","16","26","13","17"
"Wang","2","2","2","15","1","2"
"Wang","12","12","12","20","11","12"
"Wang","14","14","14","20","13","12"
"Wang","18","18","18","23","18","18"
"Wang","15","14","15","23","14","14"
"Wang","11","11","11","13","11","11"
"Wang","5","3","5","19","2","4"
"Wang","5","5","5","13","4","5"
"Wang","16","15","15","24","15","16"
"Wang","19","18","19","26","17","17"
"Wang","10","9","9","18","7","9"
"Wang","13","13","13","22","12","13"
"Wang","20","20","20","22","19","20"
"Wang","23","23","23","24","23","23"
"Wang","9","7","8","17","4","9"
"Wang","8","8","8","22","6","7"
"Wang","11","11","11","20","9","10"
"Wang","13","13","13","20","9","13"
"Wang","14","14","14","17","14","14"
"Wang","20","20","20","25","20","19"
"Wang","6","6","6","17","3","6"
"Wang","3","3","3","16","2","3"
"Wang","12","11","11","21","8","12"
"Wang","21","21","21","28","21","21"
"Wang","17","16","17","18","15","17"
"Wang","11","10","10","18","7","8"
