Date,Open,High,Low,Close,Adj Close,Volume
1998-08-26,5705.160156,5705.160156,5705.160156,5705.160156,5705.160156,0
1998-08-27,5485.859863,5485.859863,5485.859863,5485.859863,5485.859863,0
1998-08-28,5415.020020,5415.020020,5415.020020,5415.020020,5415.020020,0
1998-08-31,5081.729980,5081.729980,5081.729980,5081.729980,5081.729980,0
1998-09-01,5243.830078,5243.830078,5243.830078,5243.830078,5243.830078,0
1998-09-02,5230.080078,5230.080078,5230.080078,5230.080078,5230.080078,0
1998-09-03,5179.959961,5179.959961,5179.959961,5179.959961,5179.959961,0
1998-09-04,5142.109863,5142.109863,5142.109863,5142.109863,5142.109863,0
1998-09-08,5377.689941,5377.689941,5377.689941,5377.689941,5377.689941,0
1998-09-09,5292.890137,5292.890137,5292.890137,5292.890137,5292.890137,0
1998-09-10,5157.549805,5157.549805,5157.549805,5157.549805,5157.549805,0
1998-09-11,5287.180176,5287.180176,5287.180176,5287.180176,5287.180176,0
1998-09-14,5394.819824,5394.819824,5394.819824,5394.819824,5394.819824,0
1998-09-15,5434.049805,5434.049805,5434.049805,5434.049805,5434.049805,0
1998-09-16,5477.720215,5477.720215,5477.720215,5477.720215,5477.720215,0
1998-09-17,5353.589844,5353.589844,5353.589844,5353.589844,5353.589844,0
1998-09-18,5366.589844,5366.589844,5366.589844,5366.589844,5366.589844,0
1998-09-21,5365.430176,5365.430176,5365.430176,5365.430176,5365.430176,0
1998-09-22,5398.950195,5398.950195,5398.950195,5398.950195,5398.950195,0
1998-09-23,5571.830078,5571.830078,5571.830078,5571.830078,5571.830078,0
1998-09-24,5462.279785,5462.279785,5462.279785,5462.279785,5462.279785,0
1998-09-25,5452.660156,5452.660156,5452.660156,5452.660156,5452.660156,0
1998-09-28,5477.509766,5477.509766,5477.509766,5477.509766,5477.509766,0
1998-09-29,5480.149902,5480.149902,5480.149902,5480.149902,5480.149902,0
1998-09-30,5334.129883,5334.129883,5334.129883,5334.129883,5334.129883,0
1998-10-01,5183.450195,5183.450195,5183.450195,5183.450195,5183.450195,0
1998-10-02,5267.410156,5267.410156,5267.410156,5267.410156,5267.410156,0
1998-10-05,5206.930176,5206.930176,5206.930176,5206.930176,5206.930176,0
1998-10-06,5197.089844,5197.089844,5197.089844,5197.089844,5197.089844,0
1998-10-07,5124.879883,5124.879883,5124.879883,5124.879883,5124.879883,0
1998-10-08,5045.779785,5045.779785,5045.779785,5045.779785,5045.779785,0
1998-10-09,5146.229980,5146.229980,5146.229980,5146.229980,5146.229980,0
1998-10-12,5212.319824,5212.319824,5212.319824,5212.319824,5212.319824,0
1998-10-13,5203.759766,5203.759766,5203.759766,5203.759766,5203.759766,0
1998-10-14,5254.930176,5254.930176,5254.930176,5254.930176,5254.930176,0
1998-10-15,5460.910156,5460.910156,5460.910156,5460.910156,5460.910156,0
1998-10-16,5522.029785,5522.029785,5522.029785,5522.029785,5522.029785,0
1998-10-19,5556.500000,5556.500000,5556.500000,5556.500000,5556.500000,0
1998-10-20,5585.890137,5585.890137,5585.890137,5585.890137,5585.890137,0
1998-10-21,5597.729980,5597.729980,5597.729980,5597.729980,5597.729980,0
1998-10-22,5635.799805,5635.799805,5635.799805,5635.799805,5635.799805,0
1998-10-23,5602.169922,5602.169922,5602.169922,5602.169922,5602.169922,0
1998-10-26,5604.080078,5604.080078,5604.080078,5604.080078,5604.080078,0
1998-10-27,5580.390137,5580.390137,5580.390137,5580.390137,5580.390137,0
1998-10-28,5579.229980,5579.229980,5579.229980,5579.229980,5579.229980,0
1998-10-29,5670.799805,5670.799805,5670.799805,5670.799805,5670.799805,0
1998-10-30,5745.240234,5745.240234,5745.240234,5745.240234,5745.240234,0
1998-11-02,5828.660156,5828.660156,5828.660156,5828.660156,5828.660156,0
1998-11-03,5834.580078,5834.580078,5834.580078,5834.580078,5834.580078,0
1998-11-04,5869.899902,5869.899902,5869.899902,5869.899902,5869.899902,0
1998-11-05,5944.339844,5944.339844,5944.339844,5944.339844,5944.339844,0
1998-11-06,5975.220215,5975.220215,5975.220215,5975.220215,5975.220215,0
1998-11-09,5912.200195,5912.200195,5912.200195,5912.200195,5912.200195,0
1998-11-10,5894.009766,5894.009766,5894.009766,5894.009766,5894.009766,0
1998-11-11,5851.080078,5851.080078,5851.080078,5851.080078,5851.080078,0
1998-11-12,5842.620117,5842.620117,5842.620117,5842.620117,5842.620117,0
1998-11-13,5880.790039,5880.790039,5880.790039,5880.790039,5880.790039,0
1998-11-16,5924.250000,5924.250000,5924.250000,5924.250000,5924.250000,0
1998-11-17,5932.069824,5932.069824,5932.069824,5932.069824,5932.069824,0
1998-11-18,5957.870117,5957.870117,5957.870117,5957.870117,5957.870117,0
1998-11-19,5992.660156,5992.660156,5992.660156,5992.660156,5992.660156,0
1998-11-20,6049.020020,6049.020020,6049.020020,6049.020020,6049.020020,0
1998-11-23,6156.549805,6156.549805,6156.549805,6156.549805,6156.549805,0
1998-11-24,6129.490234,6129.490234,6129.490234,6129.490234,6129.490234,0
1998-11-25,6143.759766,6143.759766,6143.759766,6143.759766,6143.759766,0
1998-11-27,6164.479980,6164.479980,6164.479980,6164.479980,6164.479980,0
1998-11-30,6042.890137,6042.890137,6042.890137,6042.890137,6042.890137,0
1998-12-01,6062.240234,6062.240234,6062.240234,6062.240234,6062.240234,0
1998-12-02,6045.950195,6045.950195,6045.950195,6045.950195,6045.950195,0
1998-12-03,5957.770020,5957.770020,5957.770020,5957.770020,5957.770020,0
1998-12-04,6063.930176,6063.930176,6063.930176,6063.930176,6063.930176,0
1998-12-07,6104.529785,6104.529785,6104.529785,6104.529785,6104.529785,0
1998-12-08,6079.049805,6079.049805,6079.049805,6079.049805,6079.049805,0
1998-12-09,6077.669922,6077.669922,6077.669922,6077.669922,6077.669922,0
1998-12-10,5985.580078,5985.580078,5985.580078,5985.580078,5985.580078,0
1998-12-11,5972.250000,5972.250000,5972.250000,5972.250000,5972.250000,0
1998-12-14,5863.450195,5863.450195,5863.450195,5863.450195,5863.450195,0
1998-12-15,5950.259766,5950.259766,5950.259766,5950.259766,5950.259766,0
1998-12-16,5951.850098,5951.850098,5951.850098,5951.850098,5951.850098,0
1998-12-17,6028.609863,6028.609863,6028.609863,6028.609863,6028.609863,0
1998-12-18,6048.910156,6048.910156,6048.910156,6048.910156,6048.910156,0
1998-12-21,6108.439941,6108.439941,6108.439941,6108.439941,6108.439941,0
1998-12-22,6119.549805,6119.549805,6119.549805,6119.549805,6119.549805,0
1998-12-23,6227.399902,6227.399902,6227.399902,6227.399902,6227.399902,0
1998-12-24,6228.669922,6228.669922,6228.669922,6228.669922,6228.669922,0
1998-12-28,6228.029785,6228.029785,6228.029785,6228.029785,6228.029785,0
1998-12-29,6313.049805,6313.049805,6313.049805,6313.049805,6313.049805,0
1998-12-30,6283.649902,6283.649902,6283.649902,6283.649902,6283.649902,0
1998-12-31,6299.930176,6299.930176,6299.930176,6299.930176,6299.930176,0
1999-01-04,6282.060059,6282.060059,6282.060059,6282.060059,6282.060059,0
1999-01-05,6343.290039,6343.290039,6343.290039,6343.290039,6343.290039,0
1999-01-06,6460.660156,6460.660156,6460.660156,6460.660156,6460.660156,0
1999-01-07,6441.410156,6441.410156,6441.410156,6441.410156,6441.410156,0
1999-01-08,6461.180176,6461.180176,6461.180176,6461.180176,6461.180176,0
1999-01-11,6386.959961,6386.959961,6386.959961,6386.959961,6386.959961,0
1999-01-12,6287.029785,6287.029785,6287.029785,6287.029785,6287.029785,0
1999-01-13,6246.109863,6246.109863,6246.109863,6246.109863,6246.109863,0
1999-01-14,6144.080078,6144.080078,6144.080078,6144.080078,6144.080078,0
1999-01-15,6274.350098,6274.350098,6274.350098,6274.350098,6274.350098,0
1999-01-19,6289.569824,6289.569824,6289.569824,6289.569824,6289.569824,0
1999-01-20,6302.899902,6302.899902,6302.899902,6302.899902,6302.899902,0
1999-01-21,6217.669922,6217.669922,6217.669922,6217.669922,6217.669922,0
1999-01-22,6172.419922,6172.419922,6172.419922,6172.419922,6172.419922,0
1999-01-25,6196.839844,6196.839844,6196.839844,6196.839844,6196.839844,0
1999-01-26,6253.830078,6253.830078,6253.830078,6253.830078,6253.830078,0
1999-01-27,6218.200195,6218.200195,6218.200195,6218.200195,6218.200195,0
1999-01-28,6295.600098,6295.600098,6295.600098,6295.600098,6295.600098,0
1999-01-29,6348.890137,6348.890137,6348.890137,6348.890137,6348.890137,0
1999-02-01,6317.379883,6317.379883,6317.379883,6317.379883,6317.379883,0
1999-02-02,6281.850098,6281.850098,6281.850098,6281.850098,6281.850098,0
1999-02-03,6329.220215,6329.220215,6329.220215,6329.220215,6329.220215,0
1999-02-04,6249.600098,6249.600098,6249.600098,6249.600098,6249.600098,0
1999-02-05,6209.850098,6209.850098,6209.850098,6209.850098,6209.850098,0
1999-02-08,6202.970215,6202.970215,6202.970215,6202.970215,6202.970215,0
1999-02-09,6097.020020,6097.020020,6097.020020,6097.020020,6097.020020,0
1999-02-10,6118.069824,6118.069824,6118.069824,6118.069824,6118.069824,0
1999-02-11,6235.750000,6235.750000,6235.750000,6235.750000,6235.750000,0
1999-02-12,6148.200195,6148.200195,6148.200195,6148.200195,6148.200195,0
1999-02-16,6203.919922,6203.919922,6203.919922,6203.919922,6203.919922,0
1999-02-17,6136.459961,6136.459961,6136.459961,6136.459961,6136.459961,0
1999-02-18,6201.069824,6201.069824,6201.069824,6201.069824,6201.069824,0
1999-02-19,6202.129883,6202.129883,6202.129883,6202.129883,6202.129883,0
1999-02-22,6346.669922,6346.669922,6346.669922,6346.669922,6346.669922,0
1999-02-23,6323.299805,6323.299805,6323.299805,6323.299805,6323.299805,0
1999-02-24,6255.100098,6255.100098,6255.100098,6255.100098,6255.100098,0
1999-02-25,6211.330078,6211.330078,6211.330078,6211.330078,6211.330078,0
1999-02-26,6201.069824,6201.069824,6201.069824,6201.069824,6201.069824,0
1999-03-01,6190.180176,6190.180176,6190.180176,6190.180176,6190.180176,0
1999-03-02,6163.850098,6163.850098,6163.850098,6163.850098,6163.850098,0
1999-03-03,6159.729980,6159.729980,6159.729980,6159.729980,6159.729980,0
1999-03-04,6246.430176,6246.430176,6246.430176,6246.430176,6246.430176,0
1999-03-05,6377.439941,6377.439941,6377.439941,6377.439941,6377.439941,0
1999-03-08,6387.589844,6387.589844,6387.589844,6387.589844,6387.589844,0
1999-03-09,6375.220215,6375.220215,6375.220215,6375.220215,6375.220215,0
1999-03-10,6412.759766,6412.759766,6412.759766,6412.759766,6412.759766,0
1999-03-11,6467.629883,6467.629883,6467.629883,6467.629883,6467.629883,0
1999-03-12,6466.259766,6466.259766,6466.259766,6466.259766,6466.259766,0
1999-03-15,6505.169922,6505.169922,6505.169922,6505.169922,6505.169922,0
1999-03-16,6493.120117,6493.120117,6493.120117,6493.120117,6493.120117,0
1999-03-17,6456.850098,6456.850098,6456.850098,6456.850098,6456.850098,0
1999-03-18,6530.439941,6530.439941,6530.439941,6530.439941,6530.439941,0
1999-03-19,6457.169922,6457.169922,6457.169922,6457.169922,6457.169922,0
1999-03-22,6455.160156,6455.160156,6455.160156,6455.160156,6455.160156,0
1999-03-23,6296.129883,6296.129883,6296.129883,6296.129883,6296.129883,0
1999-03-24,6308.180176,6308.180176,6308.180176,6308.180176,6308.180176,0
